"Alter","Weiblich","Bezugsdauer","Vitality1","Vitality2","Sozial1","Sozial2","Mastery1","Mastery2","Perspektive1","Perspektive2","Interventionsgruppe"
52,0,94,3.75,3.25,2.66666666666667,3.66666666666667,3.75,4,3.5,4.5,1
39,100,82,2,4,4.33333333333333,3.33333333333333,3,3.75,4,4,0
59,0,151,3.25,3.75,3.66666666666667,4.66666666666667,3.75,4.5,3.5,4.5,1
57,100,103,2,3.5,3.66666666666667,3.66666666666667,2.75,2.25,1.5,2.25,1
58,0,20,2.75,3.25,2,2,2.5,3,1,1,0
51,100,111,1.25,2.25,1.66666666666667,1.66666666666667,2.5,2,1.5,1.5,1
43,0,90,4.5,4,4,3,3.5,3.25,4.25,2,1
40,0,27,4,4.5,3.66666666666667,3,4.25,4.5,5,4,0
38,100,12,3.75,4,1.66666666666667,2,2.75,4,2.5,3.75,1
33,0,24,3.25,4.5,3.33333333333333,4.33333333333333,2.5,2.75,4.25,3.75,1
23,0,51,2.25,3,5,4.33333333333333,3.25,3.25,3.25,3,1
60,0,153,3.75,4.25,2.66666666666667,2.66666666666667,3.75,4,1.25,2,1
28,100,20,3.5,5,2.33333333333333,4.33333333333333,2,4,2.75,4,1
37,0,65,1.75,2.25,3,3,2.5,3.5,2.5,3.25,1
60,0,38,3.5,4.5,3,2.33333333333333,3.25,3.25,3,1.75,1
54,0,17,1.5,5,4,4,3.5,4,3.75,4.5,1
51,100,1,2,4.75,3.66666666666667,5,1.5,3.25,3,5,1
59,0,46,2.25,3.25,3,3.66666666666667,2.75,2.5,3,3.5,1
49,100,68,3.25,1.25,2.66666666666667,1.66666666666667,3.25,3.5,3.5,2.25,0
48,100,2,4.25,5,5,4.66666666666667,4,3.5,4.75,4.25,1
53,0,176,3,3.75,3.33333333333333,4,2,3.5,2.25,3.5,1
49,100,75,2.75,3.75,2.66666666666667,3.33333333333333,4,3.25,2.75,3,1
38,0,13,4.25,4,5,4.66666666666667,3,4,4.25,5,1
53,0,187,2,3,3,4,3.25,3.25,2,2.75,1
37,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1
26,0,47,4,4.25,5,5,3,3.25,4,4.5,1
61,0,2,3.5,3.5,3,4.33333333333333,3.25,4,4.5,4.5,1
56,0,12,NA,NA,NA,NA,NA,NA,NA,NA,1
60,0,4,1.5,2.5,2.66666666666667,4.33333333333333,2.75,3,1.75,3.75,1
48,100,2,2.75,4.5,4,4,4.5,4.25,4,4,1
27,100,12,2.5,3.25,2.33333333333333,4,3,3,1.5,3.25,1
58,100,4,NA,NA,NA,NA,NA,NA,NA,NA,1
58,0,2,2.75,2.75,4.33333333333333,4.66666666666667,1.5,1.75,2.75,3,1
36,0,25,3,3.5,3,3,1,3.75,4.25,3.5,1
29,100,27,4,2.5,4,3.33333333333333,2.25,3.25,3,2.5,1
62,0,37,3,3.25,2.66666666666667,2.33333333333333,2.75,2.75,1.75,2.5,1
56,100,56,2.25,3.5,4.33333333333333,2.66666666666667,2.25,3.5,2.5,1.5,1
47,100,40,1.5,1.5,3.66666666666667,3.66666666666667,1.25,3,2.75,2.25,0
53,100,62,3.25,4.25,3,4,3.25,2.5,3.5,3.25,1
58,100,133,2,3.75,3,3,3,2.75,1,2,1
54,0,145,2.75,2.25,2.33333333333333,3.33333333333333,3,2.25,3.25,3.25,0
44,0,75,NA,NA,NA,NA,NA,NA,NA,NA,0
20,100,2,2.5,2.5,4.66666666666667,4.66666666666667,2.25,2.75,2.5,3.25,1
55,100,80,1.25,2.75,2,2,1.25,2.5,1,1,1
52,100,194,2.5,2,2.66666666666667,2.33333333333333,3.25,2,3.75,1.25,0
32,0,4,4.25,3.75,4,4.66666666666667,2.25,3.75,2.5,3.75,1
50,100,3,3.5,3.5,3,2.33333333333333,3,3.5,3,3,1
46,0,149,1,3,5,5,4.75,3.25,5,5,0
62,0,162,4.5,3.5,3.66666666666667,3,3.75,4,1,1.25,0
56,100,216,3,3.75,1,2.33333333333333,3,2.75,2.75,3.25,1
56,0,2,4.25,3,3.66666666666667,3.33333333333333,2.25,3,3.5,3.5,1
43,0,64,3.5,4,4.66666666666667,2.66666666666667,2.75,2,5,4.25,1
60,100,271,NA,NA,NA,NA,NA,NA,NA,NA,1
29,0,66,2.25,3.75,4,4,3.25,3.75,4,4,1
27,0,4,2.25,2,3.66666666666667,3,2.5,2.25,2,1.75,1
41,0,5,5,5,3.66666666666667,2.66666666666667,4.75,3.25,3.5,3.5,1
42,0,115,2.5,2,4.33333333333333,3,2,2,2.5,2,0
29,0,22,4,3.5,5,3.33333333333333,3,2.5,4,4,0
57,0,252,2.75,3,4.66666666666667,4,3.5,3.75,2,3.25,0
53,0,261,1.5,1.5,4,4,2.25,3.25,1.25,1.75,0
45,0,5,3.5,3.75,4,3,3,3,3.75,4,1
46,0,30,1.5,3,3.66666666666667,3,2,2.5,1.5,2.25,1
19,0,24,2,4,5,5,3.25,4.75,4.5,5,1
46,0,18,NA,NA,NA,NA,NA,NA,NA,NA,1
40,100,3,3.75,3.5,4,4,3,3.5,2.75,3.5,1
38,0,42,NA,NA,NA,NA,NA,NA,NA,NA,1
34,0,2,3,3,1,3.33333333333333,2.25,3,3,4,1
32,0,6,4.75,5,5,5,4.25,4.25,5,5,1
31,100,45,NA,NA,NA,NA,NA,NA,NA,NA,0
57,100,33,4.5,3,3.33333333333333,3.33333333333333,4.75,3.75,3.25,2.25,1
57,0,142,2.5,4,2.33333333333333,1.33333333333333,2,2,1.25,2.25,1
57,100,89,2,3.5,3,3,3,2.5,2.75,3.75,1
38,100,155,2.5,3.5,4,4,2.5,2.25,2.5,4.25,1
24,0,3,3.25,4,5,3.66666666666667,3.75,4,3,3.5,1
21,100,22,NA,NA,NA,NA,NA,NA,NA,NA,1
50,0,50,3.75,3.25,3.33333333333333,3,3.5,3.5,3.25,2.75,1
48,100,207,5,4.5,5,3.66666666666667,4.5,4.25,4.75,3.75,0
63,0,208,4.5,3.75,2.33333333333333,3.66666666666667,4.5,5,5,1,0
38,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1
39,100,256,3,3,3,2.66666666666667,2.5,2.5,2.5,3.5,1
32,0,82,3.5,3.75,5,4.66666666666667,3.75,4.5,4,4.25,0
29,0,69,2.75,3.25,4,3.33333333333333,3,3.5,3,3.5,1
44,100,5,2.25,2.5,3.33333333333333,1.33333333333333,3.25,4,3.25,4.5,0
60,100,2,1.75,5,2,4.33333333333333,3,3.75,4.25,4.25,1
50,0,108,3.5,3,2.66666666666667,3,2,3,2.75,3.5,1
37,100,67,2.25,3,3.33333333333333,3.33333333333333,2.75,2.25,2.5,2,1
30,0,1,2.5,3.25,3.33333333333333,4,3.5,3.75,2.75,5,1
60,0,167,2.75,3.5,2,3.66666666666667,3.25,3,4,4.5,1
53,0,7,NA,NA,NA,NA,NA,NA,NA,NA,1
52,100,23,2.75,3.5,3,4,2.75,2.5,2.5,4,1
61,0,141,1.25,2,4.66666666666667,4.66666666666667,2,3.25,2,2,0
60,0,27,NA,NA,NA,NA,NA,NA,NA,NA,1
35,0,5,1.25,3,1,3,1,1.75,2.5,3,1
52,100,45,3,4.25,4.66666666666667,4,4.25,3,3.75,4.75,1
54,100,315,2.25,2.25,4,4,3,3.5,2.5,2.75,1
52,100,1,2.5,4.75,5,4.66666666666667,4.75,4.75,3.5,4.5,1
41,0,151,NA,NA,NA,NA,NA,NA,NA,NA,1
24,0,88,4,4.25,5,4,4.5,4.5,4.25,4.5,1
56,100,50,4.25,3,3,4.66666666666667,3.25,3,3.5,2,1
53,0,102,3.75,5,5,5,5,5,5,5,0
41,100,3,3.75,3.5,4,4.66666666666667,3.25,2.25,4,2,1
59,100,15,1.25,2,3.33333333333333,4.33333333333333,2.25,2.75,2.25,2.5,1
59,100,194,4,4.25,3.33333333333333,5,5,4.75,1,1.75,1
44,100,168,3.5,4.25,3.66666666666667,5,3.25,3.75,2.75,4,1
41,100,96,4.25,4.75,4,3.33333333333333,4,3.25,3,3.25,1
55,100,1,1.75,2,1.33333333333333,1.66666666666667,3.25,3.75,2.75,3.5,0
39,100,82,NA,NA,NA,NA,NA,NA,NA,NA,0
34,0,2,3,3.25,3,3,2,3,2.5,3.75,1
33,100,3,4.75,4.75,4,3.66666666666667,4.25,4.25,3,4,1
43,100,33,3.5,5,5,3.33333333333333,1.75,5,2.75,5,1
58,0,195,3.25,4.75,4.66666666666667,5,3,3,3.25,3,0
48,0,111,4.75,4.25,2.66666666666667,3,3.5,3.75,4.75,4.25,1
45,0,98,3.5,4.75,4,4.33333333333333,2,2.5,3.25,4.5,1
31,100,114,2.75,3.25,4,3,3,3.5,2.75,2.5,0
61,100,2,5,5,2,4,4.75,3,4.75,2.75,1
52,100,143,3.75,4,3.33333333333333,2.33333333333333,4.5,4.5,4.5,4,1
41,100,158,NA,NA,NA,NA,NA,NA,NA,NA,1
39,100,94,1.75,4.75,2.66666666666667,3.33333333333333,1.75,2.5,2.25,3,1
33,100,53,NA,NA,NA,NA,NA,NA,NA,NA,1
29,0,2,2.25,3.5,4.66666666666667,4.33333333333333,4,3,4,3.75,1
19,0,5,3.5,3.5,5,5,3,4,4,4.25,1
42,0,1,2.25,2.75,4.66666666666667,4.33333333333333,3,2.25,2,2.5,1
59,100,68,3,4,3.66666666666667,3,2.75,3.25,5,3,1
